# power spectrum of pi_k
# redshift z=99.196868
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   1.025169e-10   0.000000e+00   4.132279e-11   6
  2.221441e-02   4.660702e-11   0.000000e+00   9.303820e-12   12
  2.720699e-02   2.864785e-11   2.980232e-10   5.829720e-12   8
  3.141593e-02   8.054033e-11   0.000000e+00   8.666724e-12   6
  3.512407e-02   4.869300e-11   5.619580e-10   1.552289e-11   24
  3.847649e-02   6.190013e-11   5.619580e-10   1.042866e-11   24
  4.442883e-02   2.308035e-11   0.000000e+00   1.038842e-11   12
  4.712389e-02   2.507733e-11   6.357829e-10   4.619558e-12   30
  4.967294e-02   2.968725e-11   0.000000e+00   6.542515e-12   24
  5.209742e-02   2.589933e-11   9.733398e-10   6.420012e-12   24
  5.441398e-02   2.913845e-11   5.960464e-10   5.906446e-12   8
  5.663587e-02   2.389198e-11   7.947286e-10   2.968217e-12   24
  5.877382e-02   2.186666e-11   0.000000e+00   3.072853e-12   48
  6.283185e-02   2.465061e-11   0.000000e+00   1.083838e-11   6
  6.476559e-02   1.932655e-11   7.947286e-10   2.713799e-12   48
  6.664324e-02   1.754913e-11   7.492773e-10   1.825075e-12   36
  6.846942e-02   2.474073e-11   7.947286e-10   5.173490e-12   24
  7.024815e-02   1.421371e-11   1.123916e-09   2.446951e-12   24
  7.198293e-02   1.246237e-11   0.000000e+00   1.694722e-12   48
  7.367688e-02   1.893710e-11   1.123916e-09   2.695520e-12   24
  7.695299e-02   1.441448e-11   1.123916e-09   2.267389e-12   24
  7.853982e-02   9.624338e-12   0.000000e+00   1.575327e-12   30
  8.009521e-02   1.003602e-11   0.000000e+00   1.108460e-12   72
  8.162097e-02   9.553780e-12   1.192093e-09   1.945026e-12   32
  8.458997e-02   1.217343e-11   0.000000e+00   1.411988e-12   72
  8.603606e-02   7.236302e-12   0.000000e+00   1.057925e-12   48
  8.885766e-02   3.677680e-12   0.000000e+00   1.093958e-12   12
  9.023538e-02   7.109761e-12   0.000000e+00   1.066346e-12   48
  9.159238e-02   6.148489e-12   0.000000e+00   6.120428e-13   48
  9.292956e-02   7.987583e-12   1.123916e-09   1.007612e-12   48
  9.424778e-02   9.411064e-12   1.271566e-09   1.649718e-12   30
  9.554781e-02   8.157653e-12   0.000000e+00   1.834836e-12   24
  9.683039e-02   8.273507e-12   2.369423e-09   8.318294e-13   72
  9.934588e-02   4.722580e-12   0.000000e+00   8.964417e-13   24
  1.005800e-01   7.128565e-12   0.000000e+00   7.063072e-13   96
  1.017992e-01   5.414902e-12   0.000000e+00   7.190509e-13   48
  1.030040e-01   4.465792e-12   1.946680e-09   1.096966e-12   24
  1.041948e-01   3.192643e-12   1.946680e-09   6.556066e-13   24
  1.053722e-01   7.558505e-12   0.000000e+00   9.227804e-13   72
  1.065366e-01   5.587342e-12   0.000000e+00   8.601151e-13   48
  1.088280e-01   4.784172e-12   1.192093e-09   1.428118e-12   8
  1.099557e-01   6.941245e-12   1.412851e-09   8.283631e-13   54
  1.110721e-01   4.650187e-12   0.000000e+00   8.132882e-13   84
  1.121773e-01   5.065015e-12   0.000000e+00   7.266190e-13   48
  1.132717e-01   3.126944e-12   1.589457e-09   5.578124e-13   24
  1.143557e-01   4.129504e-12   2.119276e-09   4.900193e-13   72
  1.154295e-01   5.399283e-12   0.000000e+00   6.146238e-13   96
  1.175476e-01   7.260546e-12   0.000000e+00   7.918948e-13   48
  1.185925e-01   3.945210e-12   0.000000e+00   3.696948e-13   48
  1.196283e-01   3.401306e-12   0.000000e+00   6.617703e-13   24
  1.206552e-01   3.846881e-12   0.000000e+00   4.141900e-13   72
  1.226831e-01   3.949214e-12   0.000000e+00   4.673839e-13   72
  1.236846e-01   3.820780e-12   0.000000e+00   4.355134e-13   96
  1.256637e-01   5.167265e-12   0.000000e+00   2.270922e-12   6
  1.266416e-01   4.233155e-12   0.000000e+00   4.098267e-13   96
  1.276121e-01   4.312125e-12   1.589457e-09   4.608625e-13   96
  1.285752e-01   2.878840e-12   0.000000e+00   6.844918e-13   24
  1.295312e-01   3.168980e-12   1.589457e-09   3.948265e-13   48
  1.304801e-01   3.165449e-12   0.000000e+00   3.199524e-13   96
  1.314222e-01   3.664973e-12   0.000000e+00   4.937020e-13   48
  1.332865e-01   3.182356e-12   1.498555e-09   5.971948e-13   36
  1.342089e-01   3.168752e-12   2.753021e-09   4.000843e-13   48
  1.351250e-01   3.470746e-12   3.114687e-09   3.115499e-13   120
  1.360350e-01   3.079613e-12   0.000000e+00   4.066228e-13   56
  1.369388e-01   1.710561e-12   1.589457e-09   2.993100e-13   24
  1.378368e-01   2.450088e-12   0.000000e+00   2.180064e-13   96
  1.387290e-01   2.566920e-12   0.000000e+00   3.312404e-13   48
  1.404963e-01   3.042547e-12   2.247832e-09   5.643734e-13   24
  1.413717e-01   3.280519e-12   0.000000e+00   3.282362e-13   102
  1.422417e-01   3.342343e-12   1.589457e-09   5.038498e-13   48
  1.431064e-01   3.033211e-12   0.000000e+00   3.022085e-13   72
  1.439659e-01   2.732988e-12   0.000000e+00   2.760657e-13   48
  1.448203e-01   2.894111e-12   0.000000e+00   5.362024e-13   48
  1.456697e-01   2.444421e-12   3.596531e-09   2.148326e-13   120
  1.473538e-01   3.787635e-12   2.247832e-09   6.340108e-13   24
  1.481886e-01   2.164849e-12   2.119276e-09   1.821395e-13   144
  1.490188e-01   2.198029e-12   2.543132e-09   2.113319e-13   120
  1.498444e-01   1.688837e-12   2.247832e-09   2.366390e-13   48
  1.514821e-01   2.480652e-12   2.247832e-09   3.308281e-13   48
  1.522944e-01   2.000250e-12   2.247832e-09   2.087333e-13   96
  1.544390e-01   2.574329e-12   3.768959e-04   3.160810e-13   72
  1.555009e-01   1.868453e-12   1.998073e-09   1.426693e-13   108
  1.562923e-01   2.192921e-12   0.000000e+00   2.349664e-13   72
  1.570796e-01   1.315652e-12   0.000000e+00   2.447092e-13   30
